Country,Year,MonthCode,Month,Name of distribution company,Name of major city,Additional Info,Number of EV Charging Stations excluding Heavy Duty Vehicles charging stations (including EV charging points) (UOM:Number) |Scaling Factor:1,Number of PCS specific to Heavy Duty Vehicles (E-bus etc.) (UOM:Number) |Scaling Factor:1,Electricity consumed in Electric Vehicle (EV) charging stations excluding heavy duty vehicles Public Charging Station (PCS) (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Electricity consumed in heavy duty Public Charging Station (PCS) only (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Total electricity consumed of Electric Vehicle (EV) charging stations (UOM:MU(Megaunit)) |Scaling Factor:1
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","PGVCL, Guj.","Rajkot, Surendranaga r, Junagadh, Jamnagar, Morbi, Botad",,25,3,61807,469488,0.531
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","Noida Power Company Ltd. (NPCL), UP",Greater Noida,,3,0,1403,0,0.001
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","NBPDCL, Bihar",Patna,,204,0,32693,0,0.033
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","MSEDCL, Mah.","Navi Mumbai, Pune, Thane, Nagpur",,2782,17,332219,7424356,7.757
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","MPMKVVCL, MP","Bhopal City, Gwalior City, Betul, Guna, Harda, Itarsi, Narmadapura m, Bareli, Raisen, Narsinghgarh, Zeerapur, Ashta, Vidisha",,97,1,25358,218128,0.243
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","MESCOM, Kar.","Mangaluru, Udupi, Shivamogga, Chikkamagalur u",,67,2,5612,80109,0.086
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","MESCOM, Kar.","Mangaluru, Udupi, Shivamogga, Chikkamagal uru",,67,2,5612,80109,0.086
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","LPDCL, UT of Ladakh",Chandigarh,,,7,80946,670686,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","LPDCL, UT of Ladakh","Bhopal City, Gwalior City, Betul, Guna, Harda, Itarsi, Narmadapura m, Bareli, Raisen, Narsinghgarh, Zeerapur, Ashta, Vidisha",,97,1,25358,218128,0.243
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","KSEB, Ker.","Thiruvanantha puram, Ernakulam, Kozhikode",,,5,144612,31300,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","JVVNL, Raj.","Alwar, Dausa, JCC, JPDC",,,11,430496,83625,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","JDVVNL, Raj.",Pali,,,11,430496,83625,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","HESCOM, Kar.",Hubli,,22,0,11790,0,0.012
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","GESCOM, Kar.",Kalaburgi,,1,0,1498,0,0.001
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","DVC, WB","Maithon, Dhanbad",,,0,3590,0,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","DHBVN, Haryana","Faridabad, Gurugram, Hisar,Rewari, Sirsa, Narnaul, Palwal",,72,0,1263797,0,1.264
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","DGVCL, Guj.","Surat City, Navsari, Vapi- Town, Haldarva, Bharuch East, Kavadiya Colony",,53,13,48121,1615706,1.664
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","CESC, WB",Kolkata,,12,11,1830,220680,0.223
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","CESC Mysore, Kar.","Mysore, Mandya, Hassan, Kodagu",,25,3,14144,212408,0.227
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","Brihan Mumbai Electric Supply Company (BEST), Mah.",MUMBAI (BEST),,199,39,347297,1737301,2.085
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","BYPL, Delhi",New Delhi,,1225,2,2415049,1002030,3.417
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","BRPL, Delhi",New Delhi,,1891,3,5252080,3396720,8.649
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","BESCOM, Kar.","Bangalore, Davangere, Chitradurga, Tumkuru, Kolar",,300,0,266959,0,0.267
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","AVVNL, Raj.",Ajmer,,,0,17127,0,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","APSPDCL, AP","Anantpur, Kadapa, Kurnool, Nellore, Tirupati",,30,8,12969,1162101,1.175
