Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2023-24,2023,2,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",75,3,105681,27320,0.133
India,2023-24,2023,2,Torrent Power,GUJ,ahemdabad,10,6,6058,1442287,1.448
India,2023-24,2023,2,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",18,0,3002,0,0.003
India,2023-24,2023,2,CESC,WB,kolkata,5,11,310,202403,0.203
India,2023-24,2023,2,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",63,0,7579,0,0.008
India,2023-24,2023,7,JVVNL,RAJ,"alwar, dausa, jcc, jpdc",158,11,348636,87169,0.436
India,2022-23,2022,4,Noida Power Company Ltd. (NPCL),UP,greater noida,0,0,0,0,0
India,2023-24,2023,3,Torrent Power,GUJ,ahemdabad,10,6,6349,1648190,1.655
India,2023-24,2023,2,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",57,0,9947,0,0.01
India,2023-24,2023,2,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",24,7,4306,169238,0.174
India,2023-24,2023,2,SBPDCL,BIHAR,patna,105,0,25989,0,0.026
India,2023-24,2023,2,TSSPDCL,TNG,hyderabad,42,6,30000,74000,0.104
India,2023-24,2023,2,NBPDCL,BIHAR,patna,105,0,25989,0,0.026
India,2023-24,2023,2,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",29,0,5507,0,0.006
India,2023-24,2023,2,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",121,4,60911,20002,0.081
India,2023-24,2023,1,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",18,0,4013,0,0.004
India,2023-24,2023,1,HESCOM,KAR,,3,0,269,0,0.00027
India,2023-24,2023,1,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",2583,13,179586,5219094,5.399
India,2023-24,2023,1,CESC,WB,kolkata,5,11,320,207064,0.207
India,2023-24,2023,1,Tata Power-DDL,DELHI,new delhi,595,2,2950000,970000,3.92
India,2023-24,2023,1,BRPL,DELHI,new delhi,1553,1,3679434,841800,4.521
India,2023-24,2023,1,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat",8,0,14162,0,0.014
India,2023-24,2023,1,AVVNL,RAJ,ajmer,22,0,7212,0,0.007
India,2023-24,2023,1,TSSPDCL,TNG,hyderabad,39,6,34000,54000,0.088
India,2023-24,2023,1,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",23,7,4681,169239,0.174
India,2023-24,2023,1,Noida Power Company Ltd. (NPCL),UP,greater noida,1,0,532,0,0.001
India,2023-24,2023,1,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",11,3,13187,310184,0.323
